,sent_type,university,sent_id,aligned_to,sentence,cs_word_id,preceding_zh,first_cs_word_zh,preceding_zh first_cs_word_zh,zh_deprel + word and governor ,eng_translation,preceding_eng,first_cs_word_eng,preceding_eng first_cs_word_eng,eng_deprel + word and governor ,,
1613,non-code-switch,PSU,6469,PSU_608,最 具 性价比 ， 最 方便 小区 。,7,方便,小区,方便 小区,dobj 方便 小区,"The most cost-effective, the most convenient community.",convenient,community,convenient community,appos cost community,,
1615,non-code-switch,PSU,5928,PSU_609,因此 想要 邀请 朋友 来 家里 聚餐 ， 派对 ， 不 需要 担心 空间 的 问题 。,4,邀请,朋友,邀请 朋友,dobj 邀请 朋友,"Therefore, if you want to invite friends to your home for dinner or party, you don't need to worry about space.",invite,friends,invite friends,obj invite friends,,
1617,non-code-switch,PSU,1550,PSU_611,各 种 餐具 ， 盘 ， 杯子 ， 连 卖 代 送 $517 .,3,种,餐具,种 餐具,dep 餐具 卖,"All kinds of tableware, plates, cups, with sales for $517.",of,tableware,of tableware,nmod kinds tableware,,
1619,non-code-switch,PSU,647,PSU_613,已 找到 租户 ， 求 删除,6,求,删除,求 删除,ccomp 求 删除,"The tenant has been found, ask to delete",to,delete,to delete,xcomp ask delete,,
1621,non-code-switch,PSU,4478,PSU_616,我 有 一 张 卡 要 出租 ， 你 还 需要 么 ？,11,还,需要,还 需要,dep 有 需要,I have a card to rent. Do you still need it?,still,need,still need,root  need,,
1623,non-code-switch,PSU,2272,PSU_620,本人 女 ， 研究生 ， 性格 温和 ， 请 有意 向 者 联系 。,12,向,者,向 者,nmod:prep 者 联系,I am a female graduate student with a mild personality. Please contact me if you are interested.,am,a,am a,det a personality,,
1625,non-code-switch,PSU,7488,PSU_621,求 指教 ~ ~,2,求,指教,求 指教,root ~ 指教,Please advise ~ ~,please,advise,please advise,root ~ advise,,
1627,non-code-switch,PSU,6030,PSU_626,按时 更换 机油 ， 保养 良好 。,3,更换,机油,更换 机油,dobj 更换 机油,Change the oil on time and keep it in good condition.,change,the oil,change the oil,obj Change oil,,
1629,non-code-switch,PSU,1584,PSU_628,需要 可 联系 。,2,需要,可,需要 可,ccomp 需要 可,Need to be contactable.,be,contactable,be contactable,xcomp Need contactable,,
1631,non-code-switch,PSU,57,PSU_631,近 全新 洗衣 篮 $115 .,3,全新,洗衣,全新 洗衣,compound:nn 洗衣 篮,Nearly new laundry basket for $115.,new,laundry,new laundry,compound laundry basket,,
1633,non-code-switch,PSU,7337,PSU_634,据说 每 次 还要 弄清楚 穿 什么 颜色 衣服 ?,8,什么,颜色,什么 颜色,compound:nn 颜色 衣服,It is said that every time to figure out what color clothes to wear?,what,color,what color,compound color clothes,,
1635,non-code-switch,PSU,6582,PSU_637,至少 一 个 要 选 yes .,5,要,选,要 选,root  选,Yes to at least one of them.,at,least,at least,nmod least one,,
1637,non-code-switch,PSU,6120,PSU_643,各位 亲 ， 邮件 请 说明 房子 的 地址 或 小区 名称 ， 并 做 简单 介绍 ， 谢谢 ！,9,的,地址,的 地址,conj 地址 名称,"Dear everyone, please explain the address of the house or the name of the community in the mail, and make a brief introduction, thank you!",the,address,the address,obj explain address,,
1639,non-code-switch,PSU,7030,PSU_645,绝对 的 正品 ！,1,</s>,绝对,</s> 绝对,amod 绝对 正品,Absolutely genuine!,</s>,Absolutely,</s> Absolutely,advmod Absolutely genuine,,
1641,non-code-switch,PSU,1133,PSU_654,卧室 带 独立 卫浴 。,2,卧室,带,卧室 带,root  带,Bedroom with its own bathroom.,Bedroom,with,Bedroom with,case with bathroom,,
1643,non-code-switch,PSU,233,PSU_659,除了 风扇 有点 响 ， 没有 其他 问题 。,1,</s>,除了,</s> 除了,case 除了 响,No problem except that the fan is a little loud.,except,that,except that,mark that loud,,
1645,non-code-switch,PSU,3744,PSU_660,原价 $525 ， 现在 大 降价 到 $425 啦 ！,1,</s>,原价,</s> 原价,dep 原价 大,"The original price was $525, now it's $425!",</s>,The original price,</s> The original price,amod original price,,
1647,non-code-switch,PSU,5191,PSU_668,二 层 是 厨房 ， 客厅 ， 以及 一 个 小 卫生间 ；,4,是,厨房,是 厨房,dep 厨房 卫生间,"The second floor is a kitchen, living room, and a small bathroom.",a,kitchen,a kitchen,root kitchen,,
1649,non-code-switch,PSU,5883,PSU_670,厨房 ， 客厅 ， 各 个 公共 区域 都 收拾 的 比较 整洁 ， 各 人 的 房间 自己 收拾 。,1,</s>,厨房,</s> 厨房,nmod:topic 厨房 整洁,"The kitchen, living room and all the public areas were cleaned up neatly, and each person's room was cleaned up by himself.",</s>,The kitchen,</s> The kitchen,nsubj:pass kitchen cleaned,,
1651,non-code-switch,PSU,2885,PSU_675,这些 家具 可以 折价 转卖 ， 具体 价格 可 商量 。,2,这些,家具,这些 家具,nsubj 家具 折价,The furniture can be resold at a discount and the price is negotiable.,The,furniture,The furniture,nsubj:pass furniture resold,,
1653,non-code-switch,PSU,893,PSU_676,地毯 已 于 一 个 月 前 更换 。,6,个,月,个 月,nmod:prep 月 更换,The carpet was replaced a month ago.,a,month,a month,obl:npmod month ago,,
1655,non-code-switch,PSU,93,PSU_677,买 菜 小 拖车 56 .,2,买,菜,买 菜,compound:nn 菜 拖车,Vegetable shopping cart.,</s>,Vegetable,</s> Vegetable,compound Vegetable cart,,
1657,non-code-switch,PSU,828,PSU_680,小区 业主 是 一 位 和善 的 大娘 。,4,是,一,是 一,nummod 一 和善,The owner of the community is a kind aunt.,the,owner,the owner,nsubj owner aunt,,
1659,non-code-switch,PSU,5503,PSU_684,楼 主 两 点 半 考试 ， 三点 结束 差不多 .,2,楼,主,楼 主,amod 主 两,"The exam ends at 2:30 and ends at 3:00, about the same.",about,the same,about the same,obl ends same,,
1661,non-code-switch,PSU,6182,PSU_687,问 一下 学校 的 健身 卡 怎么 会 没有 照片么 ？,5,的,健身,的 健身,compound:nn 健身 卡,Ask the school gym card why there is no picture?,school,gym,school gym,compound gym card,,
1663,non-code-switch,PSU,5776,PSU_689,车 很 频繁 。,3,很,频繁,很 频繁,root  频繁,There's a lot of traffic.,a,lot,a lot,nsubj is lot,,
1665,non-code-switch,PSU,4560,PSU_691,尺寸 和 价格 请 看 图片 。,6,看,图片,看 图片,dobj 看 图片,Please see the picture for size and price.,the,picture,the picture,obj see picture,,
1667,non-code-switch,PSU,4055,PSU_692,车况 信息 透明 ， 可 提供 维修 维护 信息 。,9,车况,信息,车况 信息,dobj 维护 信息,"Transparent vehicle condition information, can provide maintenance information.",condition,information,condition information,obj provide information,,
1669,non-code-switch,PSU,4573,PSU_693,房东 是 美国 白人 大叔 ， 热情 友好 ， 喜欢 和 人 聊天 ， 是 联系 口语 的 好 机会 哦 。,17,联系,口语,联系 口语,nmod:assmod 口语 机会,"The landlord is a white American uncle, warm and friendly, like to chat with people, is a good chance to contact spoken English oh.",contact,spoken,contact spoken,amod spoken English,,
1671,non-code-switch,PSU,3466,PSU_696,没错 的 ， 可以 用 这个 邮箱 联系 。,7,这个,邮箱,这个 邮箱,compound:nn 邮箱 联系,"Yes, you can use this email address.",this,email,this email,compound email address,,
1673,non-code-switch,PSU,2897,PSU_698,我 也 只是 给 老板 办事 而已 。,5,给,老板,给 老板,nmod:prep 老板 办事,I'm just working for my boss.,my,boss,my boss,obl working boss,,
1675,non-code-switch,PSU,3264,PSU_701,厨房 有 冰箱 、 烤箱 、 微波炉 、 厨具 。,9,、,厨具,、 厨具,dobj 有 厨具,"The kitchen has refrigerator, oven, microwave oven and kitchenware.",and,kitchenware,and kitchenware,conj refrigerator kitchenware,,
1677,non-code-switch,PSU,7006,PSU_702,可以 自己 网上 申请 。,4,网上,申请,网上 申请,root  申请,You can apply online.,can,apply,can apply,root apply,,
1679,non-code-switch,PSU,2676,PSU_706,大家 有 打 网球 的 朋友 也 希望 帮忙 推荐 一下 哦 ， 如果 是 老外 也 没 问题 ， 正好 还 可以 练习 英语 。,3,有,打,有 打,acl 打 朋友,"If you are a foreigner, you can also practice your English.",also,practice,also practice,root practice,,
1681,non-code-switch,PSU,3451,PSU_707,我 要 穿衣镜,3,要,穿衣镜,要 穿衣镜,root 穿衣镜 穿衣镜,I want a full-length mirror,full-length,mirror,full-length mirror,obj want mirror,,
1683,non-code-switch,PSU,3212,PSU_709,） 室内 照片 小区 业主 是 一 位 和善 的 大娘 。,7,是,一,是 一,nummod 一 和善,The owner of the community is a kind old woman.,the,owner,the owner,nsubj owner woman,,
1685,non-code-switch,PSU,441,PSU_715,四 人间 两 个 共享 浴室 。,5,个,共享,个 共享,root  共享,Four bedrooms with two shared bathrooms.,two,shared,two shared,amod shared bathrooms,,
1687,non-code-switch,PSU,335,PSU_716,最近 几 天 不 在 村子 哈,4,天,不,天 不,neg 不 在,Not in the village these days,</s>,Not,</s> Not,advmod Not village,,
1689,non-code-switch,PSU,3740,PSU_719,非常 适合 一 家 人 居住 ， 接待 朋友 或 家人 来访 。,5,家,人,家 人,dobj 适合 人,It is very suitable for a family to live in and receive friends or family visiting.,a,family,a family,conj friends family,,
1691,non-code-switch,PSU,1589,PSU_724,现 需要 一 间 卧室 ， 优先 考虑 学校 北面 。,3,需要,一,需要 一,nummod 一 卧室,"One bedroom is now required, with preference given to the north side of the school.",</s>,one,</s> one,nummod One bedroom,,
1693,non-code-switch,PSU,3786,PSU_725,房子 是 今年 新 装修 的 ， 新 地毯 新 厨房 设施 。,12,厨房,设施,厨房 设施,root  设施,"The house was newly decorated this year, with new carpets and kitchen facilities.",kitchen,facilities,kitchen facilities,conj carpets facilities,,
1695,non-code-switch,PSU,3589,PSU_728,有无 邮箱 联系 ？,2,有无,邮箱,有无 邮箱,compound:nn 邮箱 联系,Is there an email contact?,an,email,an email,compound email contact,,
1697,non-code-switch,PSU,376,PSU_729,草坪 护理 。,1,</s>,草坪,</s> 草坪,nsubj 草坪 护理,Lawn care.,</s>,Lawn,</s> Lawn,compound Lawn care,,
1699,non-code-switch,PSU,8057,PSU_730,吸尘器 打印机 也 需要,3,打印机,也,打印机 也,advmod 也 需要,A vacuum cleaner printer is also needed,is,also,is also,advmod also needed,,
1701,non-code-switch,PSU,3329,PSU_733,小区 门口 有 两 个 公交 车站 ， 交通 非常 方便 。,11,非常,方便,非常 方便,conj 有 方便,There are two bus stops at the gate of the community. The traffic is very convenient.,very,convenient,very convenient,root convenient,,
1703,non-code-switch,PSU,6647,PSU_738,本人 工作 需要 ， 将 从 村里 搬出 。,7,从,村里,从 村里,nmod:prep 村里 搬出,"My work needs, will move out from the village.",from,the village,from the village,obl move village,,
1705,non-code-switch,PSU,5097,PSU_740,个人 认为 是 各 品牌 入门 款 中 最 具 性价比 的 。,4,是,各,是 各,det 各 品牌,I think it is the most cost-effective entry of each brand.,of,each,of each,det each brand,,
1707,non-code-switch,PSU,1261,PSU_742,发 的 人 不对 ， 发 的 内容 也 不 会 对 。,3,的,人,的 人,compound:nn 人 不,"If you send it to the wrong person, the content will not be right.",wrong,person,wrong person,obl send person,,
1709,non-code-switch,PSU,3705,PSU_746,有 独立 的 卫生间 ！,4,的,卫生间,的 卫生间,dobj 有 卫生间,There is a separate toilet!,separate,toilet,separate toilet,nsubj is toilet,,
1711,non-code-switch,PSU,3709,PSU_748,联系 方式 ： ann .,1,</s>,联系,</s> 联系,compound:nn 联系 方式,Contact: Ann.,</s>,contact,</s> contact,root Ann. Contact,,
1713,non-code-switch,PSU,1132,PSU_754,环境 优美 ， 附近 就 有 个 小 公园 ， 夏天 可以 打球 跑步 。,8,个,小,个 小,amod 小 公园,The environment is beautiful and there is a small park nearby where you can play ball and run in summer.,a,small,a small,amod small park,,
1715,non-code-switch,PSU,7531,PSU_755,请 问 九月 十一 号 上午 可以 去 匹兹堡 机场 吗,3,问,九月,问 九月,compound:nn 九月 上午,Is it possible to go to Pittsburgh Airport in the morning of September 11th,of,September,of September,nmod morning September,,
1717,non-code-switch,PSU,6221,PSU_758,房租 是 直接 交给 房东,3,是,直接,是 直接,advmod 直接 交给,The rent is paid directly to the landlord,paid,directly,paid directly,advmod paid directly,,
1719,non-code-switch,PSU,119,PSU_762,房间 宽敞 明亮 ， 有 家具 ， 可 拎包 入住 。,6,有,家具,有 家具,dobj 有 家具,"Rooms are spacious and bright, furnished, bag occupancy available.",", ",furnished,",  furnished",conj spacious furnished,,
1721,non-code-switch,PSU,4406,PSU_765,非常 奇怪 ， 没有 附件 。,5,没有,附件,没有 附件,dobj 没有 附件,"Very strange, no attachments.",no,attachments,no attachments,parataxis strange attachments,,
1723,non-code-switch,PSU,6799,PSU_766,一般 正常 工作 前 会 这个 最 基础 的 就 足够 啦 。,2,一般,正常,一般 正常,amod 正常 工作,The meeting before working normally normally this is the most basic enough.,working,normally,working normally,advmod working normally,,
1725,non-code-switch,PSU,5117,PSU_767,比如 什么 样子 是 骗子 .,5,是,骗子,是 骗子,root  骗子,Like what looks like a liar.,a,liar,a liar,obl looks liar,,
1727,non-code-switch,PSU,1885,PSU_772,您 会 填写 一些 问卷,5,一些,问卷,一些 问卷,dobj 填写 问卷,You will fill out some questionnaires,some,questionnaires,some questionnaires,obj fill questionnaires,,
1729,non-code-switch,PSU,2728,PSU_773,诚意 求购 自行车 一 辆 ， 好 骑 ， 刹车 正常 。,5,一,辆,一 辆,mark:clf 一 辆,"Sincerity seeks to buy a bicycle, good ride, brake normal.",good,ride,good ride,conj bicycle ride,,
1731,non-code-switch,PSU,4256,PSU_777,有 工作 经验 、 实习 经历 或 学生会 活动 经历 优先 ；,8,或,学生会,或 学生会,compound:nn 学生会 活动,"Work experience, internship experience or student union activities experience is preferred;",or,student union,or student union,compound student union,,
1733,non-code-switch,PSU,3666,PSU_778,小区 物 管 热心 、 负责 ， 卫生 条件 好 ， 维修 免费 。,6,、,负责,、 负责,conj 管 负责,"The residential property management enthusiastic, responsible, sanitary conditions are good, free maintenance.",", ",responsible,",  responsible",conj enthusiastic responsible,,
1735,non-code-switch,PSU,4342,PSU_780,我 有 发 短信 ， 但 没有 收到 回复,3,有,发,有 发,ccomp 有 发,"I sent a text, but I didn't get a reply",I,sent,I sent,root reply sent,,
1737,non-code-switch,PSU,6772,PSU_781,包括 两 间 卧室 ， 一 间 客厅 和 一 间 浴室 。,8,间,客厅,间 客厅,conj 客厅 浴室,"There are two bedrooms, a living room and a bathroom.",a,living room,a living room,compound living room,,
1739,non-code-switch,PSU,4520,PSU_782,没有 宠物 ， 没有 车 。,4,</s>,没有,</s> 没有,conj 没有 没有,"No pets, no cars.",</s>,no,</s> no,det no pets,,
1741,non-code-switch,PSU,3880,PSU_783,车况 很 好 ， 平时 很 爱惜 车 。,3,很,好,很 好,root  好,"The car is in good condition, usually take good care of the car.",in,good,in good,amod good care,,
1743,non-code-switch,PSU,932,PSU_787,能 不 能 看 一下 沙发 ？,5,看,一下,看 一下,advmod 看 一下,Can I have a look at the sofa?,at,the,at the,det the sofa,,
1745,non-code-switch,PSU,8062,PSU_788,楼主 确定 行程 没 ？,3,确定,行程,确定 行程,dobj 确定 行程,Has the landlord confirmed the schedule?,the,schedule,the schedule,obj confirmed schedule,,
1747,non-code-switch,PSU,1857,PSU_800,欢迎 各位 有意 归国 发展 的 国际 关系 和 经济学 博士 、 硕士 加盟 丝 路 国家 战略 研究 中心 。,13,、,硕士,、 硕士,compound:nn 硕士 加盟,Welcome to join the Silk Road National Strategic Research Center (SRRC) for your doctorate and master's degree in international relations and economics.,and,master’s,and master’s,compound master’s degree,,
1749,non-code-switch,PSU,5609,PSU_801,毕业 诚心 卖 车 啦 ！,1,</s>,毕业,</s> 毕业,nsubj 毕业 卖,Graduation sincerely sell cars!,</s>,graduation,</s> graduation,nsubj Graduation sell,,
1751,non-code-switch,PSU,8116,PSU_802,访问 学者 ， 博士 ， 单 男 。,4,，,博士,， 博士,dep 访问 博士,"Visiting scholar, PhD, single male.",", ",PhD,",  PhD",appos scholar PhD,,
1753,non-code-switch,PSU,5827,PSU_803,顶 一下 ， 更新 为 暑假 短 租 。,4,，,更新,， 更新,conj 顶 更新,Updated for summer short rent.,</s>,updated,</s> updated,root updated,,
1755,non-code-switch,PSU,882,PSU_805,小区 背面 连接 这 公园 ， 可 烧烤 可 锻炼 可 散步 ， 环境 优美 ， 适合 学习 。,12,可,散步,可 散步,dobj 锻炼 散步,"The back of the community is connected with the park, where you can have a barbecue, exercise and walk. The environment is beautiful and suitable for study.",and,walk,and walk,conj have walk,,
1757,non-code-switch,PSU,3121,PSU_807,客厅 有 餐桌 沙发 茶几 ， 有 阳台 可以 晒 被子,11,晒,被子,晒 被子,dobj 晒 被子,"The sitting room has dining table sofa tea table, there is a balcony can bask in quilt",in,quilt,in quilt,obl bask quilt,,
1759,non-code-switch,PSU,523,PSU_808,家里 有 两 个 冰箱 ， 厨房 ， 各 种 家具 洗浴 设施 特别 齐全 ， 房间 内 书桌 ， 灯 。,13,洗浴,设施,洗浴 设施,nsubj 设施 齐全,"There are two refrigerators in the house, kitchen, all kinds of furniture, bath facilities are particularly complete, a desk in the room, lights.",bath,facilities,bath facilities,conj house facilities,,
1761,non-code-switch,PSU,449,PSU_809,小区 条件 ： 新 装修 的 健身房 ， 各 种 健身 设备 齐全 ；,7,的,健身房,的 健身房,nmod:topic 健身房 齐全,"Conditions of the community: the newly decorated gym, all kinds of fitness equipment is complete;",decorated,gym,decorated gym,appos Conditions gym,,
1763,non-code-switch,PSU,7585,PSU_816,欢迎 品尝 ！,2,欢迎,品尝,欢迎 品尝,ccomp 欢迎 品尝,Welcome to taste!,to,taste,to taste,xcomp Welcome taste,,
1765,non-code-switch,PSU,6245,PSU_831,只有 十 分钟 走路 的 距离 。,3,十,分钟,十 分钟,mark:clf 十 分钟,It's only ten minutes' walk.,ten,minutes,ten minutes,nmod:poss minutes walk,,
1767,non-code-switch,PSU,990,PSU_834,有 人 取 ， 坐标 时代 广场 。,1,</s>,有,</s> 有,root  有,Somebody took the coordinates of Times Square.,took,the,took the,det the coordinates,,
1769,non-code-switch,PSU,6333,PSU_835,客厅 有 电视机 ， 一 张 沙发 桌 ， 适合 朋友 聚会 。,7,张,沙发,张 沙发,compound:nn 沙发 桌,"The living room has a TV set and a sofa table, suitable for friends gathering.",a,sofa,a sofa,compound sofa table,,
1771,non-code-switch,PSU,2247,PSU_837,分享 一下 凌晨 收到 的 钓鱼 邮件 ： 打开 邮件 里 的 链接 后 显示 如下 ， 注意 网址 ：,6,的,钓鱼,的 钓鱼,compound:nn 钓鱼 邮件,"Share that phishing email you got in the wee hours of the morning. When you open the link in the email, it looks like this. Note the URL:",that,phishing,that phishing,compound phishing email,,
1773,non-code-switch,PSU,6334,PSU_839,厨房 的 储藏 空间 也 非常 多 。,1,</s>,厨房,</s> 厨房,nmod:assmod 厨房 空间,The kitchen also has plenty of storage space.,</s>,The kitchen,</s> The kitchen,nsubj kitchen has,,
1775,non-code-switch,PSU,4616,PSU_844,站 短 联系 。,2,站,短,站 短,amod 短 联系,Stand short links.,Stand,short,Stand short,amod short links,,
1777,non-code-switch,PSU,5902,PSU_846,多少 刀 往返 ？,1,</s>,多少,</s> 多少,dep 多少 刀,How many roundtrips?,</s>,How many,</s> How many,advmod How many,,
1779,non-code-switch,PSU,2163,PSU_850,小区 后面 有 不错 的 公园 。,6,的,公园,的 公园,dobj 有 公园,There's a nice park behind the neighborhood.,nice,park,nice park,nsubj 's park,,
1781,non-code-switch,PSU,569,PSU_851,邮箱 ： feiwang .,1,</s>,邮箱,</s> 邮箱,dep 邮箱 feiwang,Email: feiwang.,</s>,email,</s> email,root Email,,
1783,non-code-switch,PSU,7377,PSU_856,该 车 确实 比较 省 油 ， 顶 ！,2,该,车,该 车,nsubj 车 省,"This car is really more fuel efficient, top!",This,car,This car,nsubj car efficient,,
1785,non-code-switch,PSU,3882,PSU_859,不 是 很 了解 ， 恳请 指点 迷津 ！,8,指点,迷津,指点 迷津,dobj 指点 迷津,"Is not very understand, implore give directions maze!",directions,maze,directions maze,obj give maze,,
1787,non-code-switch,PSU,1815,PSU_866,欢迎 随时 看 车 。,4,看,车,看 车,dobj 看 车,Feel free to look at the car.,the,car,the car,obl look car,,
1789,non-code-switch,PSU,5238,PSU_867,房子 带 家具 和 洗衣机 ， 可 拎包 入住 。,2,房子,带,房子 带,root  带,"The house is furnished with washing machine, bag carrying.",", ",with,",  with",case with machine,,
1791,non-code-switch,PSU,701,PSU_868,可以 防止 加热 损伤 头发 。,2,可以,防止,可以 防止,root  防止,This prevents heat damage to hair.,</s>,This prevents,</s> This prevents,root prevents,,
1793,non-code-switch,PSU,1113,PSU_870,寒假 期间 全 天 可以 约 时间 陪练 。,2,寒假,期间,寒假 期间,nsubj 期间 约,"During the winter vacation, you can make an appointment to practice all day.",</s>,During the,</s> During the,case During vacation,,
1795,non-code-switch,PSU,6987,PSU_872,父母 在 家 工作 。,1,</s>,父母,</s> 父母,nsubj 父母 工作,Parents work at home.,</s>,parents,</s> parents,nsubj Parents work,,
1797,non-code-switch,PSU,7470,PSU_873,小区 周围 有 公园 ， 超市 ， 小学 ， 生活 便利 。,4,有,公园,有 公园,dobj 有 公园,"The community is surrounded by parks, supermarkets, primary schools, life is convenient.",by,parks,by parks,obl surrounded parks,,
1799,non-code-switch,PSU,4141,PSU_874,链接 貌似 有 问题 ， 欢迎 发 邮件 咨询 ~,4,有,问题,有 问题,dobj 有 问题,"The link seems to have a problem, welcome to email consultation ~",a,problem,a problem,obj have problem,,
1801,non-code-switch,PSU,4582,PSU_878,请 发 邮件 询问 图片 。,4,邮件,询问,邮件 询问,conj 发 询问,Please ask for pictures.,please,ask,please ask,root ask,,
1803,non-code-switch,PSU,5954,PSU_879,就 把 车 停 在 机场 。,3,把,车,把 车,dep 车 停,Just park the car at the airport.,the,car,the car,obj park car,,
1805,non-code-switch,PSU,6426,PSU_882,打 乒乓 。,2,打,乒乓,打 乒乓,dobj 打 乒乓,Play table tennis.,play,table tennis,play table tennis,compound table tennis,,
1807,non-code-switch,PSU,7372,PSU_892,吸尘器 是 大 的 吗 ？,1,</s>,吸尘器,</s> 吸尘器,nsubj 吸尘器 是,Is the vacuum cleaner a big one?,the,vacuum cleaner,the vacuum cleaner,compound vacuum cleaner,,
1809,non-code-switch,PSU,123,PSU_894,卧室 为 两 室 一 厅 中 的 一 间 ， 面积 很 宽敞 ， 拎包 入住 ；,1,</s>,卧室,</s> 卧室,nsubj 卧室 为,"The bedroom is one of the two rooms in the hall, the area is very spacious, move-in bag;",</s>,The bedroom,</s> The bedroom,nsubj bedroom one,,
1811,non-code-switch,PSU,377,PSU_895,有 租房 意向 的 请 联系 李 老师 。,3,租房,意向,租房 意向,dobj 租房 意向,"If you are interested in renting a house, please contact Miss Li.",are,interested,are interested,advcl interested contact,,
1813,non-code-switch,PSU,2655,PSU_911,邮件 和 短信 优先 ， 谢谢 ！,6,，,谢谢,， 谢谢,root  谢谢,"Email and SMS are preferred, thank you!",", ",thank you,",  thank you",parataxis preferred thank,,
1815,non-code-switch,PSU,5210,PSU_912,大家 好 ~,2,大家,好,大家 好,root ~ 好,Hello ~,</s>,Hello,</s> Hello,root hello,,
1817,non-code-switch,PSU,7159,PSU_914,地点 希望 是 在 离 小学 学校 比较 近 和 购物 方便 的 地方 。,14,的,地方,的 地方,nmod:prep 是 地方,The location is expected to be close to the primary school and convenient for shopping.,the,location,the location,nsubj:pass location expected,,
1819,non-code-switch,PSU,7122,PSU_918,谢谢 ， 知道 了 ^ _ ^,1,</s>,谢谢,</s> 谢谢,root ^ 谢谢,"Thanks, got it ^ _ ^",</s>,Thanks,</s> Thanks,root thanks,,
1821,non-code-switch,PSU,4607,PSU_919,管理 此 线 五 年 。,1,</s>,管理,</s> 管理,root  管理,Managed the line for five years.,</s>,managed,</s> managed,root Managed,,
1823,non-code-switch,PSU,4247,PSU_934,能够 敏锐 发现 商机 ， 了解 客户 心理 。,7,了解,客户,了解 客户,compound:nn 客户 心理,Able to identify business opportunities and understand customer psychology.,understand,customer,understand customer,compound customer psychology,,
1825,non-code-switch,PSU,5269,PSU_939,其他 特点 ： 硬木 地板 : 绝对 卫生 。,7,:,绝对,: 绝对,amod 绝对 卫生,Other Features: Hardwood flooring: Absolute hygiene.,: ,absolute,:  absolute,amod Absolute hygiene,,
1827,non-code-switch,PSU,526,PSU_941,小区 后面 就是 一 个 大 的 狗 公园 。,6,个,大,个 大,amod 大 狗,Behind the community is a big dog park.,a,big,a big,amod big park,,
1829,non-code-switch,PSU,4144,PSU_944,没 车 的 同学 我 可以 带 你 去 其他 超市 。,11,其他,超市,其他 超市,dobj 去 超市,"If you don't have a car, I can take you to another supermarket.",another,supermarket,another supermarket,obl take supermarket,,
1831,non-code-switch,PSU,1220,PSU_945,那 是 一 段 美好 的 记忆 。,5,段,美好,段 美好,amod 美好 记忆,It was a good memory.,a,good,a good,amod good memory,,
1833,non-code-switch,PSU,1985,PSU_946,保险 一 个 月 多少 钱 ？,4,个,月,个 月,root ？ 月,How much is the insurance for a month?,a,month,a month,nmod insurance month,,
1835,non-code-switch,PSU,6291,PSU_947,有 具体 的 信息 吗 ？,2,有,具体,有 具体,amod 具体 信息,Do you have any specific information?,any,specific,any specific,amod specific information,,
1837,non-code-switch,PSU,791,PSU_955,房子 已 转让,1,</s>,房子,</s> 房子,nsubj 房子 转让,House assigned,</s>,house,</s> house,root House,,
1839,non-code-switch,PSU,7217,PSU_963,· 透明 的 平台 模式 ， 与 客户 直接 交流 ， 准确 捕获 长期 客户 。,2,·,透明,· 透明,amod 透明 模式,"· Transparent platform mode, direct communication with customers, and accurate capture of long-term customers.",</s>,transparent,</s> transparent,amod Transparent mode,,
1841,non-code-switch,PSU,2556,PSU_966,本人 性别 女 ， 安静 ， 不 开 趴 ， 不 养 宠物 。,13,养,宠物,养 宠物,dobj 养 宠物,"I am female, quiet, do not party, do not keep pets.",keep,pets,keep pets,obj keep pets,,
1843,non-code-switch,PSU,2434,PSU_967,房间 含 独立 卫生间 以及 衣帽间 。,3,含,独立,含 独立,amod 独立 卫生间,Rooms include private bathroom and cloakroom.,includes,private,includes private,amod private bathroom,,
1845,non-code-switch,PSU,151,PSU_968,小区 位 于 学校 北边 ， 十分 安静 ， 环境 好 ， 房间 大 。,4,于,学校,于 学校,compound:nn 学校 北边,"The community is located in the north of the school, very quiet, good environment, big room.",of,the school,of the school,nmod north school,,
1847,non-code-switch,PSU,5126,PSU_969,周边 环境 ： 小区 不 大 ， 非常 安静 。,2,周边,环境,周边 环境,nmod:topic 环境 大,Neighborhood: The neighborhood is not big and very quiet.,the,neighborhood,the neighborhood,nsubj neighborhood big,,
1849,non-code-switch,PSU,4263,PSU_971,职位 要求 ： 具有 房地产 相关 领域 必备 的 基础 知识 ；,8,领域,必备,领域 必备,amod 必备 知识,Basic knowledge in real estate related field is necessary;,is,necessary,is necessary,root necessary,,
1851,non-code-switch,PSU,4255,PSU_972,有 很 强 的 适应性 和 应变 能力 ， 能够 灵活 处理 突发 问题 ；,7,和,应变,和 应变,compound:nn 应变 能力,"Have strong adaptability and strain capacity, can deal with emergency problems flexibly;",and,strain,and strain,compound strain capacity,,
1853,non-code-switch,PSU,1714,PSU_980,可否 租 八 个 月 ？,5,个,月,个 月,dobj 租 月,Can I rent it for eight months?,eight,months,eight months,obl rent months,,
1855,non-code-switch,PSU,1162,PSU_981,签约 成功 后 会 免 一 个 月 房租 ！,8,个,月,个 月,compound:nn 月 房租,"After signing successfully, one month's rent will be free!",one,month,one month,nmod:poss month rent,,
1857,non-code-switch,PSU,7787,PSU_983,你 好 ， 我 想 加入 ， 能 给 我 个 邮件 地址 不 ， 我 想 咨询 一下 详细 信息 ， 谢谢 ～,12,个,邮件,个 邮件,compound:nn 邮件 地址,"Hello, I would like to join. Can you give me an email address? No, I would like to ask for more information",an,email,an email,compound email address,,
