,sent_type,university,sent_id,aligned_to,sentence,eng_translation,cs_word_id,preceding_zh,first_cs_word_zh,,preceding_zh first_cs_word_zh,zh_deprel + word and governor ,zh_deprel,preceding_eng,first_cs_word_eng,,preceding_eng first_cs_word_eng,eng_deprel + word and governor ,eng_deprel,word_freq_zh,non_log_word_freq_zh,neg_base_e_word_freq_zh,base_e_word_freq_zh,word_freq_eng,non_log_word_freq_eng,neg_base_e_word_freq_eng,base_e_word_freq_eng,cs_word_length_zh,cs_word_length_eng,cs_word_dep_dist,cs_word_pos_zh,cs_word_pos_eng,sentence_length_zh,dep_prob_eng,dep_prob_zh,gt_ngram_surp_eng,ngram_surp_eng,base_2_ngram_prob_eng,raw_ngram_prob_eng,base_10_ngram_prob_eng,base_10_ngram_surp_eng,ngram_surp_zh,base_2_ngram_prob_zh,raw_ngram_prob_zh,base_10_ngram_prob_zh,base_10_ngram_surp_zh,retrained_ngram_surp_zh,dep_surp_eng,dep_surp_zh,llm_surp_zh,llm_surp_eng
1237,non-code-switch,PSU,264,PSU_119,日本 车 相对 保养 比较 简单 ， 维护 费用 也 较 低 。,"Japanese cars are relatively easy to maintain, and maintenance costs are lower.",1,<s>,日本,4.7181916,<s> 日本,nmod:assmod 日本 车,nmod:assmod,<s>,Japanese,8.248479,<s> Japanese,amod Japanese cars,amod,50.51268919110710,0.00000000000000,-35.01272809531670,35.01272809531670,14.05312280,0.00005883,-9.74088245,9.74088245,2,8,1,NR,NNP,13,-9.450481,-4.3254476,27.4008541301884,27.400854,-27.400854,0.000000,-8.248479,8.248479,10.6951219,-10.6951219,0.0006032,-3.2195525,3.2195525,4.7181916,9.450481,4.3254476,15.6743021011353,0.0
1239,non-code-switch,PSU,436,PSU_121,此 车 无 事故 记录 ， 可以 提供 报告 。,This car has no accident record and can be reported.,4,无,事故,7.279415,无 事故,compound:nn 事故 记录,compound:nn,no,accident,3.7641153,no accident,compound accident record,compound,53.34955472168920,0.00000000000000,-36.97909343946740,36.97909343946740,15.2460482,0.0000257,-10.5677553,10.5677553,2,8,1,NN,NN,10,-4.428948,-4.239413,12.8496052078402,12.5041204,-12.5041204,0.0001721,-3.7641153,3.7641153,16.0102431,-16.0102431,0.0000152,-4.8195634,4.8195634,7.279415,4.428948,4.239413,26.6735272407532,10.1781806945801
1241,non-code-switch,PSU,2768,PSU_122,你 好 ， 能 详细 了解 一下 电视 的 情况 吗 ？,"Hello, could you tell me more about the TV?",1,<s>,你,6.7433143,<s> 你,nsubj 你 好,nsubj,could,you,3.4528947,could you,nsubj you tell,nsubj,49.12542237591960,0.00000000000000,-34.05114801368510,34.05114801368510,8.54985987,0.00266831,-5.92631126,5.92631126,1,3,1,PN,PRP,12,-2.400322,-2.993422,9.49381138479668,11.4702679,-11.4702679,0.0003525,-3.4528947,3.4528947,14.2564175,-14.2564175,0.0000511,-4.2916093,4.2916093,6.7433143,2.400322,2.993422,8.71797275543213,4.70231914520264
1243,non-code-switch,PSU,290,PSU_123,平时 白天 在 实验室 时间 多 。,I spend a lot of time in the laboratory during the day.,4,在,实验室,6.9811764,在 实验室,compound:nn 实验室 时间,compound:nn,the,laboratory,3.8227363,the laboratory,obl spend laboratory,obl,63.50467673580470,0.00000000000000,-44.01808763179380,44.01808763179380,15.343017,0.000024,-10.634969,10.634969,3,10,1,NN,NN,7,-5.597849,-7.5406404,1.76060714092956,12.6988551,-12.6988551,0.0001504,-3.8227363,3.8227363,13.8087120,-13.8087120,0.0000697,-4.1568365,4.1568365,6.9811764,5.597849,7.5406404,23.2247683207194,9.68760395050049
1245,non-code-switch,PSU,6041,PSU_134,以及 开车 前往 周边 休闲 ；,And drive to the neighborhood for leisure;,4,前往,周边,7.1735477,前往 周边,compound:nn 周边 休闲,compound:nn,the,neighborhood,3.9795194,the neighborhood,obl drive neighborhood,obl,55.24350238802700,0.00000000000000,-38.29187792451750,38.29187792451750,15.3567651,0.0000238,-10.6444984,10.6444984,2,12,1,NN,NN,6,-3.87884,-4.746521,19.0733172198859,13.2196773,-13.2196773,0.0001048,-3.9795194,3.9795194,12.4302879,-12.4302879,0.0001812,-3.7418895,3.7418895,7.1735477,3.87884,4.746521,25.5712275505066,11.5365524291992
1247,non-code-switch,PSU,4291,PSU_149,很 好 的 锅,A good pot,4,的,锅,7.21781,的 锅,root 锅 ,root,good,pot,5.8828793,good pot,root pot,root,61.46244269621470,0.00000000000000,-42.60251886520840,42.60251886520840,16.0714856,0.0000145,-11.1399049,11.1399049,1,3,0,NN,NN,4,-5.670374,-6.4708247,21.3272467610382,19.5425020,-19.5425020,0.0000013,-5.8828793,5.8828793,19.287091,-19.287091,0.000002,-5.805993,5.805993,7.21781,5.670374,6.4708247,16.5720500946045,13.6076631546021
1249,non-code-switch,PSU,6841,PSU_150,包 燃气 ， 暖气 ， 水 。,"It includes gas, heating and water.",4,，,暖气,7.239988,， 暖气,dep 包 暖气,dep,", ",heating,4.6476154,",  heating",conj gas heating,conj,58.66148759248500,0.00000000000000,-40.66104473218320,40.66104473218320,15.9610995,0.0000157,-11.0633911,11.0633911,2,7,3,NN,NN,7,-3.7695332,-4.6226783,22.2756027525078,15.4390442,-15.4390442,0.0000225,-4.6476154,4.6476154,21.6124898,-21.6124898,0.0000003,-6.5060077,6.5060077,7.239988,3.7695332,4.6226783,28.2323951721191,5.91858053207398
1251,non-code-switch,PSU,1842,PSU_153,全 套 家具 ， 拎包 入住 。,"Full set of furniture, ready for move-in.",3,套,家具,7.1670523,套 家具,nsubj 家具 拎包,nsubj,of,furniture,7.900575,of furniture,nmod set furniture,nmod,56.26337265183140,0.00000000000000,-38.99879812241050,38.99879812241050,15.7132828,0.0000186,-10.8916177,10.8916177,2,9,2,NN,NN,7,-3.551173,-5.0503983,26.5227163904029,26.245142,-26.245142,0.000000,-7.900575,7.900575,18.3099371,-18.3099371,0.0000031,-5.5118403,5.5118403,7.1670523,3.551173,5.0503983,14.074364900589,12.9941835403442
1253,non-code-switch,PSU,6651,PSU_154,想 租 一月 中旬 开始 ， 租 两 个 月 的,I'd like to take it for two months beginning in the middle of January,3,租,一月,6.6841683,租 一月,compound:nn 一月 中旬,compound:nn,of,January,8.899957,of January,nmod middle January,nmod,63.05504629670140,0.00000000000000,-43.70642756063540,43.70642756063540,13.63467104,0.00007862,-9.45083379,9.45083379,2,7,1,NT,NNP,11,-3.8511045,-6.567745,28.7302565344814,29.565017,-29.565017,0.000000,-8.899957,8.899957,18.258931,-18.258931,0.000003,-5.496486,5.496486,6.6841683,3.8511045,6.567745,26.5922446250916,14.7688245773315
1255,non-code-switch,PSU,3500,PSU_155,博士后 / 博士 / 硕士 学历 ， 英文 可以 作为 工作 语言 熟练 使用 。,"Postdoctoral/PhD/Master degree, good command of English as a working language.",11,作为,工作,6.5809894,作为 工作,compound:nn 工作 语言,compound:nn,as,working,3.8079643,as working,amod working language,amod,47.73868979987030,0.00000000000000,-33.08993823840590,33.08993823840590,12.9410529,0.0001272,-8.9700543,8.9700543,2,7,1,NN,VBG,15,-3.6865747,-3.4128735,11.5508821382747,12.6497836,-12.6497836,0.0001556,-3.8079643,3.8079643,10.6446465,-10.6446465,0.0006247,-3.2043579,3.2043579,6.5809894,3.6865747,3.4128735,21.3513202667236,12.8066482543945
1257,non-code-switch,PSU,2965,PSU_158,最好 在 学校 北面 的 房子 。,Preferably in the house north of the school.,3,在,学校,6.9811764,在 学校,compound:nn 学校 北面,compound:nn,of,the school,0.8473364,of the school,obl north school,obl,50.505748385014900,0.000000000000001,-35.007917095143100,35.007917095143100,4.39029524,0.04768584,-3.04312077,3.04312077,2,10,1,NN,DT,7,-3.1165626,-3.792012,2.36600076490391,2.8147906,-2.8147906,0.1421227,-0.8473364,0.8473364,12.2021654,-12.2021654,0.0002122,-3.6732178,3.6732178,6.9811764,3.1165626,3.792012,15.2586109638214,2.28050637245178
1259,non-code-switch,PSU,1631,PSU_162,已 邮件 联系 ， 请 查收,"I have contacted you by email, please check",2,已,邮件,7.1670523,已 邮件,dep 邮件 联系,dep,by,email,7.667964,by email,obl contacted email,obl,55.436058087896300,0.000000000000000,-38.425347364982700,38.425347364982700,18.2410044,0.0000032,-12.6437008,12.6437008,2,5,1,NN,NN,6,-5.5806713,-5.363909,25.4836764126423,25.472425,-25.472425,0.000000,-7.667964,7.667964,22.115743,-22.115743,0.000000,-6.657502,6.657502,7.1670523,5.5806713,5.363909,18.7646679878235,1.45500075817108
1261,non-code-switch,PSU,1758,PSU_164,入住 时间 签约 即可 随时 入住 。,Check-in time can be signed at any time.,1,<s>,入住,7.3514414,<s> 入住,root  入住,root,to,check in,6.082765,to check in,root check,root,60.15004281063710,0.00000000000000,-41.69283258475310,41.69283258475310,14.21596522,0.00005255,-9.85375621,9.85375621,2,8,0,VV,VB,7,-4.860621,-4.500393,10.1696609776296,20.206508,-20.206508,0.000001,-6.082765,6.082765,19.266200,-19.266200,0.000002,-5.799704,5.799704,7.3514414,4.860621,4.500393,16.1770434379578,0.0
1263,non-code-switch,PSU,7613,PSU_166,不 需要 中国 公 证件 。,No Chinese notarized document is required.,3,需要,中国,6.0279365,需要 中国,nmod 中国 证件,nmod,no,Chinese,7.3778577,no Chinese,amod Chinese document,amod,47.71364545197710,0.00000000000000,-33.07257881927480,33.07257881927480,13.86912061,0.00006683,-9.61334185,9.61334185,2,7,2,NR,JJ,6,-9.450481,-2.1312497,24.5087127737111,24.5087128,-24.5087128,0.0000000,-7.3778577,7.3778577,14.5683804,-14.5683804,0.0000412,-4.3855195,4.3855195,6.0279365,9.450481,2.1312497,20.2650380134583,12.3739948272705
1265,non-code-switch,PSU,8128,PSU_170,站 内 联系 ， 谢谢 ！,"Contact inside the station, thank you!",3,内,联系,7.1807833,内 联系,nsubj 联系 谢谢,nsubj,<s>,contact,5.744354,<s> contact,root  Contact,root,50.554944937898000,0.000000000000001,-35.042017547067300,35.042017547067300,13.89705506,0.00006555,-9.63270453,9.63270453,2,7,2,NN,NN,6,-4.4186225,-4.5360155,19.0823309395786,19.082331,-19.082331,0.000002,-5.744354,5.744354,19.263124,-19.263124,0.000002,-5.798778,5.798778,7.1807833,4.4186225,4.5360155,24.0591850280762,0.0
1267,non-code-switch,PSU,830,PSU_171,这 间 房子 在,This house is in,1,<s>,这,7.0391965,<s> 这,det 这 房子,det,<s>,this,4.6803675,<s> this,det this house,det,46.50899818787030,0.00000000000001,-32.23758096458990,32.23758096458990,8.44109086,0.00287726,-5.85091833,5.85091833,1,4,2,DT,DT,4,-1.9346128,-0.96827644,15.5478442926477,15.5478443,-15.5478443,0.0000209,-4.6803675,4.6803675,9.9507323,-9.9507323,0.0010105,-2.9954689,2.9954689,7.0391965,1.9346128,0.96827644,10.5209350585938,0.0
1269,non-code-switch,PSU,657,PSU_172,从 学校 返程 搭 r/rc/rp 都可 。,You can take R/RC/RP for your return trip from school.,2,从,学校,6.9453273,从 学校,compound:nn 学校 返程,compound:nn,from,school,7.671843,from school,nmod trip school,nmod,50.505748385014900,0.000000000000001,-35.007917095143100,35.007917095143100,12.04129617,0.00023725,-8.34639049,8.34639049,2,6,1,NN,NN,7,-4.051756,-3.792012,10.2419388247326,25.485311,-25.485311,0.000000,-7.671843,7.671843,10.6327464,-10.6327464,0.0006298,-3.2007756,3.2007756,6.9453273,4.051756,3.792012,21.7575378417969,10.5680561065674
1271,non-code-switch,PSU,7052,PSU_173,你 好 ~ ~ 请问 可以 买 落地 灯 吗 ？,Hello ~ ~ can I buy a floor lamp?,8,买,落地,7.1807833,买 落地,amod 落地 灯,amod,a,floor,4.2083306,a floor,compound floor lamp,compound,57.85107460193140,0.00000000000000,-40.09930925269180,40.09930925269180,13.69567722,0.00007537,-9.49312005,9.49312005,2,5,1,JJ,NN,11,-3.691562,-5.0118036,13.3722355179958,13.9797717,-13.9797717,0.0000619,-4.2083306,4.2083306,19.7319,-19.7319,0.0000,-5.9399,5.9399,7.1807833,3.691562,5.0118036,34.4021053314209,12.4960670471191
1273,non-code-switch,PSU,6657,PSU_175,房子 外面 是 一 个 花园 草坪 。,Outside the house is a garden lawn.,2,房子,外面,7.198451,房子 外面,nsubj 外面 草坪,nsubj,<s>,outside,5.071911,<s> outside,case Outside house,case,55.31790253141810,0.00000000000000,-38.34344817414230,38.34344817414230,13.08382595,0.00011518,-9.06901707,9.06901707,2,7,5,NN,RB,8,-3.1463706,-4.785608,16.8485236456683,16.848524,-16.848524,0.000008,-5.071911,5.071911,9.5005373,-9.5005373,0.0013806,-2.8599467,2.8599467,7.198451,3.1463706,4.785608,25.0027146339417,0.0
1275,non-code-switch,PSU,4053,PSU_178,还 在 国内 ， 邮件 联系 ？,Still in the country. Email?,3,在,国内,7.2683387,在 国内,nmod:prep 国内 联系,nmod:prep,email,domestic,4.509831,email domestic,amod domestic contact,amod,50.71155964966370,0.00000000000000,-35.15057459296190,35.15057459296190,14.4592065,0.0000444,-10.0223582,10.0223582,2,8,3,NN,JJ,7,-3.204406,-4.8945556,27.4072521636992,14.981334,-14.981334,0.000031,-4.509831,4.509831,10.6363500,-10.6363500,0.0006283,-3.2018604,3.2018604,7.2683387,3.204406,4.8945556,22.1292634010315,7.99211359024048
1277,non-code-switch,PSU,7872,PSU_179,价格 好 商量 ， 不 知道 为什么 “ 好 商量 ” 没有 打 出来 .,"The price is easy to negotiate. I don't know why ""easy to negotiate"" didn’t come out.",14,打,出来,7.1807833,打 出来,advmod:rcomp 打 出来,advmod:rcomp,didn’t,come out,3.9095356,didn’t come out,ccomp know come,ccomp,50.99351047435370,0.00000000000000,-35.34600801215230,35.34600801215230,11.38700809,0.00037340,-7.89287255,7.89287255,2,8,1,VV,VB,15,-2.644259,-3.7042334,8.7934884833031,12.9871961,-12.9871961,0.0001232,-3.9095356,3.9095356,10.6955870,-10.6955870,0.0006030,-3.2196925,3.2196925,7.1807833,2.644259,3.7042334,22.9603886604309,4.98833322525024
1279,non-code-switch,PSU,7795,PSU_182,请 问 车轮 是 几 寸 ？,How many inches is the wheel?,5,是,几,7.39772,是 几,dep 是 几,dep,how,many,2.0225053,how many,amod many inches,amod,49.6361309288311,0.0000000000000,-34.4051442072236,34.4051442072236,10.53812014,0.00067253,-7.30446826,7.30446826,1,4,1,CD,JJ,7,-2.1662607,-3.2471163,3.48121554361564,6.7186172,-6.7186172,0.0094950,-2.0225053,2.0225053,17.2231325,-17.2231325,0.0000065,-5.1846795,5.1846795,7.39772,2.1662607,3.2471163,21.0079250335693,9.21096706390381
1281,non-code-switch,PSU,8002,PSU_183,美女 很 热心 的 ， 很 提 客户 考虑 ， 赞 一 个 ！,"The beauty is very impressive, customer consideration is very important, I like it!",3,很,热心,7.1670523,很 热心,dep 热心 考虑,dep,very,enthusiastic,7.8276305,very enthusiastic,root enthusiastic,root,56.37971187545360,0.00000000000000,-39.07943832725270,39.07943832725270,16.7638613,0.0000090,-11.6198232,11.6198232,2,12,6,VA,JJ,14,-4.056912,-5.7918663,26.0028256743472,26.0028257,-26.0028257,0.0000000,-7.8276305,7.8276305,12.622805,-12.622805,0.000159,-3.799843,3.799843,7.1670523,4.056912,5.7918663,41.198504447937,10.1707181930542
1283,non-code-switch,PSU,6262,PSU_188,您 好 ， 我 想 问 一下 哦 ， 养 车 费用 一 个 月 大概 多少 ？,"Hello, I would like to ask how much is the car maintenance cost for one month?",13,费用,一,5.580385,费用 一,nummod 一 月,nummod,for,one,2.6882002,for one,nummod one month,nummod,46.076754676539700,0.000000000000013,-31.937972593395800,31.937972593395800,8.93141273,0.00204822,-6.19078355,6.19078355,1,3,2,CD,CD,18,-1.5246245,-0.8550439,4.87424117574594,8.9300078,-8.9300078,0.0020502,-2.6882002,2.6882002,12.629084,-12.629084,0.000158,-3.801733,3.801733,5.580385,1.5246245,0.8550439,26.2277755737305,6.98335409164429
1285,non-code-switch,PSU,3599,PSU_190,短 租 三四 两 个 月 是否 可以 ？,Is it OK to rent for three or four or two months?,4,三四,两,7.1670523,三四 两,nummod 两 月,nummod,or,two,3.0076876,or two,conj three two,conj,48.63694356179750,0.00000000000000,-33.71256030091310,33.71256030091310,9.98087694,0.00098959,-6.91821671,6.91821671,1,3,2,CD,CD,9,-3.3136058,-1.8285682,9.99132193908434,9.9913219,-9.9913219,0.0009825,-3.0076876,3.0076876,15.0081705,-15.0081705,0.0000303,-4.5179095,4.5179095,7.1670523,3.3136058,1.8285682,10.8122787475586,10.6939306259155
1287,non-code-switch,PSU,5463,PSU_193,客厅 有 餐桌 皮质 沙发 等等 。,"The living room has a dining table, leather sofa and so on.",5,皮质,沙发,7.1670523,皮质 沙发,dobj 有 沙发,dobj,leather,sofa,6.02149,leather sofa,conj table sofa,conj,57.89490298423350,0.00000000000000,-40.12968877231300,40.12968877231300,17.3062910,0.0000062,-11.9958068,11.9958068,2,4,3,NN,NNP,7,-4.4435186,-2.4776647,11.2129234581917,20.00296,-20.00296,0.00000,-6.02149,6.02149,10.6349189,-10.6349189,0.0006289,-3.2014296,3.2014296,7.1670523,4.4435186,2.4776647,22.6205272674561,3.03275036811829
1289,non-code-switch,PSU,8045,PSU_198,折扣 最后 一 周 。,Discounts last week.,2,折扣,最后,7.1598167,折扣 最后,amod 最后 一,amod,discounts,last,4.541114,discounts last,amod last week,amod,51.05570599760300,0.00000000000000,-35.38911866373600,35.38911866373600,11.58918812,0.00032457,-8.03301307,8.03301307,2,4,1,JJ,JJ,5,-2.4018726,-5.1951947,10.0414946800655,15.085254,-15.085254,0.000029,-4.541114,4.541114,15.5197438,-15.5197438,0.0000213,-4.6719084,4.6719084,7.1598167,2.4018726,5.1951947,21.9699754714966,11.9144411087036
1291,non-code-switch,PSU,2189,PSU_202,已 租 到 ， 请 忽略 ， 谢谢,I have got it. Please ignore it. Thank you,6,请,忽略,7.1598167,请 忽略,dep 租 忽略,dep,Please,ignore,5.40596,Please ignore,root ignore,root,54.36275345259920,0.00000000000000,-37.68138928314460,37.68138928314460,16.2658082,0.0000127,-11.2745991,11.2745991,2,6,4,VV,VB,8,-4.8604565,-5.4980617,17.0565992557477,17.95821,-17.95821,0.00000,-5.40596,5.40596,18.354277,-18.354277,0.000003,-5.525188,5.525188,7.1598167,4.8604565,5.4980617,30.755373954773,9.41738510131836
1293,non-code-switch,PSU,3496,PSU_205,拎包 入住 即可 ！,Ready for check in!,3,入住,即可,7.1670523,入住 即可,advmod 拎包 即可,advmod,<s>,Can,4.4064207,<s> Can,aux Can carry,aux,63.480137460644200,0.000000000000000,-44.001078302403300,44.001078302403300,9.19392683,0.00170747,-6.37274446,6.37274446,2,3,2,AD,MD,4,-1.2200798,-9.119097,16.4927119274249,14.6378127,-14.6378127,0.0000392,-4.4064207,4.4064207,15.214756,-15.214756,0.000026,-4.580098,4.580098,7.1670523,1.2200798,9.119097,28.776303768158,6.22289085388184
1295,non-code-switch,PSU,8309,PSU_208,谢谢 ， 可是 图片 还是 显示 不 出来 啊,"Thanks, but the picture still doesn't show",4,可是,图片,6.8863854,可是 图片,nsubj 图片 显示,nsubj,but,the picture,1.4967254,but the picture,nsubj picture show,nsubj,55.363512302835700,0.000000000000000,-38.375062458606400,38.375062458606400,4.39029524,0.04768584,-3.04312077,3.04312077,2,11,2,NN,DT,9,-4.1758733,-4.5750093,4.97201415659153,4.9720142,-4.9720142,0.0318621,-1.4967254,1.4967254,17.8911131,-17.8911131,0.0000041,-5.3857617,5.3857617,6.8863854,4.1758733,4.5750093,23.7435474395752,5.14847278594971
1297,non-code-switch,PSU,1036,PSU_210,准时 ： 绝对 准时 。,Punctuality: Absolutely on time.,4,<s>,准时,7.3514414,<s> 准时,dep 准时 准时,dep,absolutely,on time,2.5138357,absolutely on time,nmod Punctuality time,nmod,57.757837793683400,0.000000000000000,-40.034682421930300,40.034682421930300,7.80679153,0.00446603,-5.41125554,5.41125554,2,7,3,VA,IN,5,-6.359436,-6.7995048,13.0341917965535,8.3507814,-8.3507814,0.0030631,-2.5138357,2.5138357,24.2109378,-24.2109378,0.0000001,-7.2882185,7.2882185,7.3514414,6.359436,6.7995048,16.2149047851563,9.82397937774658
1299,non-code-switch,PSU,3241,PSU_214,家具 、 各种 厨具 齐全 ， 免费 赠送 ， 可 拎包 入住 。,"Furniture and all kinds of kitchen utensils are provided free of charge, ready for move-in.",5,厨具,齐全,7.1670523,厨具 齐全,root  齐全,root,are,complete,7.646399,are complete,root complete,root,55.129553670279,0.000000000000,-38.212894692082,38.212894692082,13.07697755,0.00011573,-9.06427012,9.06427012,2,8,0,VA,JJ,13,-3.7875319,-5.0491114,25.4007876628186,25.400788,-25.400788,0.000000,-7.646399,7.646399,19.3583755,-19.3583755,0.0000015,-5.8274517,5.8274517,7.1670523,3.7875319,5.0491114,34.0920343399048,8.22515106201172
1301,non-code-switch,PSU,98,PSU_219,厨具 、 自行车 、 打印机 ， 如果 你 不 介意 ， 你 都 可以 使用 。,"Cookware, a bicycle, a printer, if you don't mind, you can use all of it.",13,你,都,7.240411,你 都,advmod 都 使用,advmod,use,all,3.2008407,use all,obj use all,obj,48.00623800003140,0.00000000000000,-33.27538851901150,33.27538851901150,8.94391847,0.00203054,-6.19945187,6.19945187,1,3,2,AD,DT,16,-2.7947755,-4.7978954,4.28288449181367,10.6329626,-10.6329626,0.0006297,-3.2008407,3.2008407,6.9095626,-6.9095626,0.0083179,-2.0799856,2.0799856,7.240411,2.7947755,4.7978954,16.9443874359131,7.55385208129883
1303,non-code-switch,PSU,4895,PSU_223,要求 ： 爱 干净 ， 爱 安静 ， 不 养 宠物 ， 好 相处 的 女生 ;,"Requirement: Clean, quiet, no pets, easy to get along with girls;",13,，,好,6.6318607,， 好,advmod 好 相处,advmod,", ",easy,4.519937,",  easy",conj Clean easy,conj,49.04016574954840,0.00000000000000,-33.99205262349190,33.99205262349190,13.5264567,0.0000847,-9.3758253,9.3758253,1,4,1,AD,JJ,17,-4.30198,-3.1693678,2.07802215397251,15.014906,-15.014906,0.000030,-4.519937,4.519937,12.987031,-12.987031,0.000123,-3.909486,3.909486,6.6318607,4.30198,3.1693678,25.7711563110352,9.59979057312012
1305,non-code-switch,PSU,7445,PSU_229,如果 有 可以 出租 的 房间 请 联系 我 。,"If there is a room for rent, please contact me.",4,可以,出租,7.1807833,可以 出租,acl 出租 房间,acl,for,rent,8.056182,for rent,nmod room rent,nmod,54.304374199054700,0.000000000000000,-37.640923868147000,37.640923868147000,15.5717408,0.0000205,-10.7935082,10.7935082,2,4,2,VV,NN,10,-3.5441852,-5.483953,27.8146501033281,26.762057,-26.762057,0.000000,-8.056182,8.056182,17.459546,-17.459546,0.000006,-5.255847,5.255847,7.1807833,3.5441852,5.483953,23.4655914306641,10.7492513656616
1307,non-code-switch,PSU,2022,PSU_230,微 信号 显示 用户 不 存在 。,Wechat indicates that the user does not exist.,1,<s>,微,7.344206,<s> 微,amod 微 信号,amod,indicates,that,0.396145,indicates that,mark that exist,mark,54.99170739622020,0.00000000000000,-38.11734693586750,38.11734693586750,6.94999579,0.00808803,-4.81736999,4.81736999,1,4,1,JJ,IN,7,-0.7859202,-4.4133506,3.84278250228342,1.315965,-1.315965,0.401657,-0.396145,0.396145,16.492768,-16.492768,0.000011,-4.964818,4.964818,7.344206,0.7859202,4.4133506,10.7390279769897,0.839583516120911
1309,non-code-switch,PSU,7167,PSU_235,请 问 又 开始 出租 了 么 ？,"Is it available for rent again, please?",5,开始,出租,7.2138476,开始 出租,ccomp 问 出租,ccomp,for,rent,2.3556287,for rent,obl available rent,obl,54.304374199054700,0.000000000000000,-37.640923868147000,37.640923868147000,15.5717408,0.0000205,-10.7935082,10.7935082,2,4,3,VV,NN,8,-5.1405196,-4.2491393,20.2262687695628,7.8252292,-7.8252292,0.0044093,-2.3556287,2.3556287,18.2159844,-18.2159844,0.0000033,-5.4835577,5.4835577,7.2138476,5.1405196,4.2491393,23.2892127037048,7.30650520324707
1311,non-code-switch,PSU,1633,PSU_236,停车 免费 ， 但是 要 跟 物业 登记 办 个 停车 证 。,"Parking is free, but you have to register with the property for a parking permit.",7,跟,物业,7.191703,跟 物业,compound:nn 物业 登记,compound:nn,the,property,3.9563386,the property,obl register property,obl,55.497885311814800,0.000000000000000,-38.468202730923600,38.468202730923600,12.81329002,0.00013894,-8.88149585,8.88149585,2,8,1,NN,NN,13,-4.1884146,-5.370594,12.5536267296707,13.1426723,-13.1426723,0.0001106,-3.9563386,3.9563386,19.7497123,-19.7497123,0.0000011,-5.9452558,5.9452558,7.191703,4.1884146,5.370594,25.979564666748,9.60690116882324
1313,non-code-switch,PSU,5764,PSU_239,当心 受骗 ！,Beware of being cheated!,2,当心,受骗,7.1670523,当心 受骗,ccomp 当心 受骗,ccomp,being,cheated,7.803611,being cheated,advcl Beware cheated,advcl,58.24788081657700,0.00000000000000,-40.37435436160210,40.37435436160210,18.8068313,0.0000022,-13.0359021,13.0359021,2,7,1,VV,VBD,3,-7.4311185,-6.817884,12.594522654254,25.923035,-25.923035,0.000000,-7.803611,7.803611,22.2489214,-22.2489214,0.0000002,-6.6975927,6.6975927,7.1670523,7.4311185,6.817884,16.4090447425842,9.85117721557617
1315,non-code-switch,PSU,5733,PSU_240,有 没 有 时间 上限 ?,Is there a time limit?,1,<s>,有,5.096284,<s> 有,root  有,root,<s>,Is there,3.561916,<s> Is there,expl Is there,expl,46.490996609160200,0.000000000000010,-32.225103221061400,32.225103221061400,6.89388369,0.00840880,-4.77847604,4.77847604,1,8,0,VE,VBZ,6,-6.54021,-1.420219,11.8324288320288,11.832429,-11.832429,0.000274,-3.561916,3.561916,9.8397739,-9.8397739,0.0010913,-2.9620671,2.9620671,5.096284,6.54021,1.420219,6.6600341796875,0.0
1317,non-code-switch,PSU,464,PSU_241,每 个 月 $680 .,$680 per month.,3,个,月,5.0407577,个 月,root  月,root,per,month,7.4531665,per month,nmod $ month,nmod,47.43860709544220,0.00000000000001,-32.88193675789680,32.88193675789680,13.77812435,0.00007118,-9.55026805,9.55026805,1,5,0,NN,NN,5,-2.82257,-3.6397958,4.96611341571658,24.7588832,-24.7588832,0.0000000,-7.4531665,7.4531665,8.9765330,-8.9765330,0.0019852,-2.7022057,2.7022057,5.0407577,2.82257,3.6397958,23.8516902923584,2.62912774085999
1319,non-code-switch,PSU,298,PSU_243,方向 朝 东南 ， 上午 阳光 都 能 晒 进来 。,"The direction is southeast, and you can get the sun in the morning.",9,能,晒,7.1807833,能 晒,conj 朝 晒,conj,the,sun,4.040949,the sun,obj get sun,obj,59.3655278649376,0.0000000000000,-41.1490482620344,41.1490482620344,13.63409341,0.00007866,-9.45043341,9.45043341,1,3,7,VV,NNP,11,-4.9738984,-4.162601,11.5007927776888,13.423742,-13.423742,0.000091,-4.040949,4.040949,21.830366,-21.830366,0.000000,-6.571595,6.571595,7.1807833,4.9738984,4.162601,35.3949775695801,9.81949901580811
1321,non-code-switch,PSU,4511,PSU_245,你 的 图片 里 都 是 车 ， 哪里 有 电视,All your pictures are cars. Where's the TV,7,是,车,7.39772,是 车,root 电视 车,root,of,cars,7.889142,of cars,obl full cars,obl,52.221390251940400,0.000000000000000,-36.197109418053100,36.197109418053100,15.1649515,0.0000272,-10.5115434,10.5115434,1,4,0,NN,NNS,11,-4.325943,-4.8246884,18.1195684103471,26.207162,-26.207162,0.000000,-7.889142,7.889142,18.208298,-18.208298,0.000003,-5.481244,5.481244,7.39772,4.325943,4.8246884,31.7837314605713,19.3464794158936
